INFO  - 2017-11-24 13:44:11.349; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-11-24 13:44:11.356; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-11-24 13:44:11.360; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\conf\elevate.xml
INFO  - 2017-11-24 13:44:11.451; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-11-24 13:44:11.454; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-11-24 13:44:11.453; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3f592f36 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2017-11-24 13:44:11.463; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\workFile\soft\solr\solr-4.4.0\example
INFO  - 2017-11-24 13:44:11.465; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-11-24 13:44:11.514; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=50 
INFO  - 2017-11-24 13:44:11.518; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-11-24 13:44:11.519; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-11-24 13:44:11.525; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-11-24 13:44:11.529; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3f592f36 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2017-11-24 13:44:11.532; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-11-24 13:44:11.661; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1511396585406} status=0 QTime=1 
INFO  - 2017-11-24 13:45:09.161; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1511502309158} status=0 QTime=1 
INFO  - 2017-11-24 13:45:09.343; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/system params={wt=json&_=1511502309287} status=0 QTime=54 
INFO  - 2017-11-24 13:45:12.261; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&contentType=text/html;charset%3Dutf-8&_=1511502312256} status=0 QTime=1 
INFO  - 2017-11-24 13:45:12.262; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&contentType=text/html;charset%3Dutf-8&_=1511502312257} status=0 QTime=0 
INFO  - 2017-11-24 13:45:12.503; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={show=index&numTerms=0&wt=json&_=1511502312316} status=0 QTime=3 
INFO  - 2017-11-24 13:45:12.526; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={wt=json&command=details&_=1511502312323} status=0 QTime=26 
INFO  - 2017-11-24 13:45:12.531; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1511502312325} status=0 QTime=0 
INFO  - 2017-11-24 13:45:12.535; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={action=status&wt=json&_=1511502312326} status=503 QTime=2 
INFO  - 2017-11-24 13:45:15.281; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=schema.xml&contentType=text/xml;charset%3Dutf-8&_=1511502315276} status=0 QTime=1 
INFO  - 2017-11-24 13:45:23.395; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1511502323391} status=0 QTime=2 
INFO  - 2017-11-24 13:45:23.418; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1511502323400} status=0 QTime=17 
INFO  - 2017-11-24 13:45:28.631; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=schema.xml&contentType=text/xml;charset%3Dutf-8&_=1511502328621} status=0 QTime=1 
INFO  - 2017-11-24 13:45:29.454; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={wt=json&command=details&_=1511502329452} status=0 QTime=0 
INFO  - 2017-11-24 13:45:32.153; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1511502332148} status=0 QTime=2 
INFO  - 2017-11-24 13:45:32.951; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=solrconfig.xml&contentType=text/xml;charset%3Dutf-8&_=1511502332948} status=0 QTime=0 
INFO  - 2017-11-24 13:45:33.839; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={wt=json&ts=1511502333831&_=1511502333832} hits=0 status=0 QTime=2 
INFO  - 2017-11-24 13:45:33.839; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={wt=json&ts=1511502333831&_=1511502333832} status=0 QTime=3 
INFO  - 2017-11-24 13:47:27.329; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={show=index&numTerms=0&wt=json&_=1511502447324} status=0 QTime=1 
INFO  - 2017-11-24 13:47:27.333; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={wt=json&command=details&_=1511502447327} status=0 QTime=1 
INFO  - 2017-11-24 13:47:27.371; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1511502447330} status=0 QTime=1 
INFO  - 2017-11-24 13:47:27.371; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={action=status&wt=json&_=1511502447332} status=503 QTime=0 
INFO  - 2017-11-24 13:47:32.612; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1511502452600} status=0 QTime=4 
INFO  - 2017-11-24 13:47:33.094; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=solrconfig.xml&contentType=text/xml;charset%3Dutf-8&_=1511502453091} status=0 QTime=1 
INFO  - 2017-11-24 13:47:33.585; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&wt=json&_=1511502453554} status=0 QTime=1 
